部門代號,地區,站名,部門所在地址,電話,經度,緯度
D4100,忠明,台中營業處大樓1F,臺中市文心路四段１２１號　　　　　　　　　　　,042-920130  ,24.173943,120.674762
D4100,忠明,台中營業處大樓5F,臺中市文心路四段１２１號　　　　　　　　　　　,042-920130  ,24.173903,120.674857
D4100,忠明,台中營業處大樓3F,臺中市文心路四段１２１號　　　　　　　　　　　,042-920130  ,24.17394,120.674669
D4121,沙鹿,台中供油中心,臺中縣大肚鄉王田村興和路３３２號　　　　　　　,046-992674  ,24.126605,120.582322
D4121,西屯,王田供油中心-2,臺中縣大肚鄉王田村興和路３３２號　　　　　　　,046-992674  ,24.124726,120.58262
D4121,西屯,王田供油中心-3,臺中縣大肚鄉王田村興和路３３２號　　　　　　　,046-992674  ,24.12451,120.582778
D4121,西屯,王田供油中心-1,臺中縣大肚鄉王田村興和路３３２號　　　　　　　,046-992674  ,24.124479,120.582785
D4124,沙鹿,台中港供油中心,　　　　　　　　　　　　　　　　　　　　　　　,            ,24.27479,120.505374
D4140,彰化,彰化站,彰化縣彰化市和調里中山路三段27號,04-7222759,24.08451256,120.553656
D4141,忠明,三民路站,台中市南區福平里三民路一段１號,04-22613854,24.1279499,120.6667566
D4143,南投,草屯站,南投縣草屯鎮玉峰里中正路880號,049-2362049,23.98475534,120.6867435
D4144,豐原,豐潭站,台中市潭子區栗林里中山路三段249號,04-25324634,24.22620664,120.7074263
D4146,豐原,梨山站,台中市和平區梨山里中正路224號,04-25981393,24.254661,121.24641
D4147,彰化,員林站,彰化縣員林鎮三多里中山路二段495號,04-8320294,23.97170842,120.5713065
D4148,二林,二林站,彰化縣二林鎮豐田里二溪路一段212號,04-8960049,23.90255129,120.3735047
D4149,豐原,東勢站,台中市東勢區粵寧里豐勢路678號,04-25872454,24.26140643,120.8243167
D414A,西屯,龍井站,台中市龍井區竹坑里沙田路四段175號,04-26353010,24.19061975,120.5454732
D414E,埔里,埔里中山路站,南投縣埔里鎮中山路二段141號,049-2982844,23.9686819,120.9721489
D414L,西屯,大肚站,台中市大肚區新興里沙田路二段222號,04-26992502,24.15893697,120.5439882
D414M,南投,南投三和站,南投縣南投市三和里中興路549號,049-2227255,23.92589368,120.6919634
D414N,大里,國姓站,南投縣國姓鄉福龜村中正路一段55號,049-2721240,24.02391721,120.82747
D414T,線西,和美站,彰化縣和美鎮和東里彰美路五段85號,04-7553024,24.10688572,120.5027447
D414Y,西屯,台中工業區站,台中市西屯區福和里臺灣大道四段1047號,04-23592968,24.15534117,120.6083997
D414Z,二林,社頭站,彰化縣社頭鄉員集路二段583號,04-8732534,23.90462943,120.5837392
D4150,埔里,埔里站,南投縣埔里鎮中山路三段172號,049-2982403,23.96789418,120.9616648
D4153,竹山,竹山站,南投縣竹山鎮竹山里集山路三段884號,049-2642304,23.76051715,120.6893749
D4154,沙鹿,清水站,台中市清水區中山路507-18號,04-26222464,24.27760585,120.578385
D4157,二林,溪州站,彰化縣溪州鄉溪州村中山路三段6號,04-8892079,23.85201537,120.4890417
D415N,埔里,魚池站,南投縣魚池鄉魚池村魚池街772號,049-2895352,23.90198614,120.9295851
D415R,西屯,文心路站,台中市西屯區文心路三段2號,04-23131239,24.1627629,120.6500604
D415U,西屯,向上路站,台中市西區向上路一段27號,04-23011800,24.1465036,120.6658042
D415V,忠明,大雅中清路站,台中市大雅區中清路三段951號,04-25664445,24.21794278,120.6484843
D415X,沙鹿,梧棲站,台中市梧棲區八德路2號,04-26568415,24.26073821,120.5319486
D4160,二林,永靖站,彰化縣永靖鄉港西村中山路一段637號,04-8221945,23.91523353,120.5446995
D4161,沙鹿,霧峰站,台中市霧峰區中正路784號,04-23393270,24.06094255,120.6984164
D4167,忠明,北屯站,台中市北屯區北屯路436號,04-22435121,24.17942333,120.7011122
D4168,南投,名間站,南投縣名間鄉中正村南雅街151號,049-2732629,23.83707886,120.7020068
D416H,斗六,二水站,彰化縣二水鄉裕民村南通路二段680號,04-8790305,23.80572267,120.62025
D416K,西屯,公益路站,台中市南屯區公益路二段2號,04-23269700,24.15104329,120.652779
D416M,大里,霧峰林森路站,台中市霧峰區林森路455號,04-23339411,24.06123148,120.6950337
D416N,二林,埔鹽站,彰化縣埔鹽鄉好修村員鹿路二段99號,04-8651196,24.00499095,120.460526
D416R,豐原,石岡豐勢路站,台中市石岡區九房里明德路2號,04-25722984,24.2774433,120.7637997
D416V,西屯,五權西路站,台中市南屯區五權西路二段566號,04-23893367,24.14136295,120.6413094
D416W,西屯,松竹路站,台中市北屯區松和里松竹路二段４２７號,04-22451915,24.181824,120.688911
D416X,忠明,太平長億路站,台中市太平區太平路137號,04-22709613,24.12010344,120.7210732
D416Y,南投,南崗工業區站,南投縣南投市平山里仁和路13號,049-2251460,23.91961952,120.6558577
D4173,彰化,福興站,彰化縣福興鄉橋頭村彰鹿路七段477號,04-7772534,24.04771027,120.4452752
D4174,埔里,日月潭站,南投縣魚池鄉水社村中山路20號,049-2855160,23.87201521,120.9170307
D4175,豐原,豐原大湳站,台中市豐原區三豐路502號,04-25225504,24.2629218,120.7202366
D4176,豐原,翁子站,台中市豐原區豐勢路一段588號,04-25225510,24.25967949,120.7344676
D4177,彰化,秀水站,彰化縣秀水鄉安東村彰水路一段30號,04-7692141,24.03626792,120.5016078
D417A,二林,埔心站,彰化縣埔心鄉瓦北村員鹿路一段421號,04-8293874,23.95463284,120.5568635
D417R,西屯,烏日高鐵站,台中市烏日區建國路265號,04-23377492,24.27115731,120.5595332
D417T,南投,南崗三路站,南投縣南投市南崗三路278-1號,049-2254902,23.93657061,120.6658199
D417U,西屯,成功嶺站,台中市烏日區榮泉路252號,04-23374286,24.10829486,120.5934798
D4180,豐原,豐原交流道站,台中市神岡區岸裡里中山路88號,04-25228204,24.24862476,120.6964215
D4184,沙鹿,清水服務區站,台中市清水區吳厝里吳厝二街81號,04-26203281,24.26834404,120.6000386
D4187,南投,南投服務區站,南投縣南投市南鄉路250巷142弄8號,049-2204987,23.89900963,120.7102019
D4302,嘉義,嘉義直銷,嘉義市民生北路６號　　　　　　　　　　　　　　,05-2223172  ,23.468973,120.453467
D431B,斗六,雲林直銷,　　　　　　　　　　　　　　　　　　　　　　　,　　　 ,23.712567,120.557179
D4321,嘉義,民雄供油中心,嘉義縣民雄鄉大崎腳２０號　　　　　　　　　　　,05-2215117  ,23.525284,120.474884
D4344,崙背,西螺站,雲林縣西螺鎮大園里大同路38號,05-5862240,23.79863,120.466343
D4346,嘉義,吳鳳路站,嘉義市東區吳鳳南路92號,05-2224070,23.46921035,120.4541854
D4349,新港,北港站,雲林縣北港鎮華勝路87號,05-7832618,23.574971,120.298864
D434A,斗六,梅山站,嘉義縣梅山鄉梅北村中山路746號,05-2622821,23.58993945,120.5446883
D434F,新港,六腳站,嘉義縣六腳鄉六腳村六腳路2-15號,05-3781175,23.512943,120.258062
D434G,新港,蒜頭站,嘉義縣六腳鄉蒜頭村1-15號,05-3802944,23.49568562,120.293126
D434H,朴子,布袋站,嘉義縣布袋鎮興中里上海路1號,05-3471410,23.37954,120.16703
D434M,臺西,三條崙站,雲林縣四湖鄉崙北村海青路196號,05-7721002,23.657222,120.151564
D434R,新營,鹿草站,嘉義縣鹿草鄉後堀村山仔腳59號,05-3751219,23.408392,120.318995
D434T,麥寮,褒忠站,雲林縣褒忠鄉埔姜村三民路231號,05-6974165,23.701717,120.316563
D434V,斗六,斗六南環路站,雲林縣斗六市文化路522號,05-5339692,23.712665,120.55717
D434X,新營,東山站,台南市東山區東正里東勢240號,06-6800021,23.32976087,120.4071143
D434Y,麥寮,雲林東勢站,雲林縣東勢鄉復興村文化路2-10號,05-6993200,23.677616,120.269109
D4350,嘉義,大林站,嘉義縣大林鎮中正路260號,05-2652049,23.59888565,120.4499427
D4351,斗六,斗南站,雲林縣斗南鎮延平路二段165號,05-5972320,23.679972,120.481141
D4352,朴子,朴子站,嘉義縣朴子市南通路三段635號,05-3792364,23.4609328,120.2422372
D4353,嘉義,民雄站,嘉義縣民雄鄉建國路二段329號,05-2262145,23.55100401,120.4335679
D4354,新營,柳營站,台南市柳營區柳營路三段300號,06-6222041,23.29208487,120.3127931
D4355,崙背,莿桐站,雲林縣莿桐鄉中山路251號,05-5842054,23.76018,120.497599
D4356,崙背,土庫站,雲林縣土庫鎮建國路131號,05-6622644,23.678761,120.393203
D4357,麥寮,崙背站,雲林縣崙背鄉南陽村正義路123號,05-6962049,23.761093,120.359761
D4358,新營,後壁站,台南市後壁區後壁里42號,06-6871004,23.3632865,120.3600966
D4359,嘉義,南靖站,嘉義縣水上鄉三鎮路101-1號,05-2682029,23.41979729,120.3889139
D435A,新港,水林站,雲林縣水林鄉水北村顏厝寮97號,05-7854194,23.57208721,120.2496876
D4360,新港,新港站,嘉義縣新港鄉菜公村菜公厝64-1號,05-3742054,23.550934,120.346998
D4361,新營,義竹站,嘉義縣義竹鄉義竹村118號之6,05-3412054,23.33911775,120.249282
D4362,斗六,林內站,雲林縣林內鄉林中村中正路532號,05-5892048,23.752305,120.610784
D4364,崙背,虎尾新生路站,雲林縣虎尾鎮新生路155號,05-6322812,23.707215,120.436036
D4365,崙背,二崙站,雲林縣二崙鄉崙東村中山路一段102號,05-5982056,23.77092917,120.4153219
D4366,嘉義,中山路站,嘉義市東區中山路90號,05-2789320,23.48233105,120.4595543
D4367,麥寮,四湖站,雲林縣四湖鄉施湖村中山西路199號,05-7872053,23.637477,120.220576
D4368,嘉義,林森路站,嘉義市東區林森西路281號,05-2279744,23.48129379,120.4437917
D4370,麥寮,麥寮站,雲林縣麥寮鄉麥豐村中山路12號,05-6932174,23.75039559,120.2613646
D4371,臺西,臺西,雲林縣台西鄉中山路36號,05-6982124,23.70098002,120.1918861
D4372,麥寮,元長站,雲林縣元長鄉長南村中山路４號,05-7882170,23.6469373,120.3132619
D4373,斗六,古坑站,雲林縣古坑鄉西平村中山路291號,05-5821534,23.649232,120.560551
D4374,嘉義,竹崎站,嘉義縣竹崎鄉和平村田寮52號,05-2611714,23.515982,120.54805
D4375,崙背,大埤站,雲林縣大埤鄉南和村大埤路543號,05-5912494,23.64659212,120.4354153
