D2140,中崙站,104 台北市中山區八德路二段214號,02-27712548,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D2146,汐止站,221 新北市汐止區大同路一段353號,02-26412246,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D214G,福林站,111 台北市士林區中山北路五段465號,02-28812420,08:00-16:30(星期一~星期五)、09:00-16:30(星期六)
D214K,龍安站,106 台北市大安區和平東路二段2號,02-23631735,09:00-17:00(星期一~星期五)
D214R,內湖站,114 台北市內湖區民權東路六段50號,02-27920678,09:00-21:00(星期一~星期五)、09:00-16:30(星期六)
D214Z,新莊站,242 新北市新莊區中正路338號,02-29965736,09:00-17:30(星期一~星期五)
D2157,復興北路站,105 台北市松山區復興北路31號,02-27112342,07:00-21:00(星期一~星期五)、09:00-16:30(星期六、日)
D215E,林口站,244 新北市林口區中山路１號,02-26015017,09:00-17:00(星期一~星期五)
D215J,南港站,115 台北市南港區南港路二段50號,02-27822408,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D215N,鶯歌站,239 新北市鶯歌區文化路152號,02-26792944,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D215V,泰新加油加氣站,243 新北市泰山區新北大道五段1號,02-29094220,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D2160,樹林站,243 新北市樹林區樹新路207號,02-26812405,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D2163,信義路站,106 台北市大安區信義路四段374號,02-27081235,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D2169,富陽街站,106 台北市大安區富陽街129號,02-27324229,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D2172,新生北路站,104 台北市中山區新生北路二段71號,02-25815206,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D2174,土城站,236 新北市土城區中央路二段280號,02-22602808,09:00-17:00(星期一~星期五)、09:00-16:30(星期六)
D2179,積穗站,235 新北市中和區中山路二段550號,02-22219719,09:00-17:30(星期一~星期五)、09:00-16:30(星期六)
D234C,武陵站,330 桃園市桃園區中山路1020號,03-3604492,09:00-18:00(星期一~星期五)、09:00-17:00(每月單週星期六)
D234N,三民路站,330 桃園市桃園區三民路一段150號,03-3348425,09:00-18:00(星期二~星期六)
D234Y,平鎮站,324 桃園市平鎮區延平路二段152號,03-4934734,09:00-18:00(星期一~星期五)
D235D,新富站,桃園市平鎮區新富里中豐路一段298號,03-4573401,09:00-18:00(星期一~星期五)、09:00-17:00(每月單週星期六)
D235Q,中壢工業區加油加氣站,320 桃園市中壢區中華路二段230號,03-4521948,09:00-18:00(星期一~星期五)、09:00-17:00(每月單週星期六)
D4140,彰化站,500 彰化縣彰化市和調里中山路三段27號,04-7222759,09:00-17:00(週一二三五六)
D4143,草屯站,542 南投縣草屯鎮玉峰里中正路880號,049-2362049,08:00-16:30(星期一二四五日)
D414E,埔里中山路站,545 南投縣埔里鎮中山路二段141號,049-2982844,08:00-16:30(星期一~星期六)
D414M,南投三和站,540 南投縣南投市三和里中興路549號,049-2227255,
D414Z,社頭站,511 彰化縣社頭鄉員集路二段583號,04-8732534,08:00-17:00(星期三~星期一)
D4151,南門橋站,412 台中市大里區西榮里中興路二段691號,04-24826451,08:15-16:45(星期一~星期四、每月單週星期五、星期六)
D415L,太平站,411 台中市太平區太平里太平路651號,04-22787508,09:00-17:30(星期一~星期六)
D415R,文心路站,407 台中市西屯區文心路三段2號,04-23131239,08:00-16:30(星期一~星期六)、08:00-12:00(星期三)
D4161,霧峰站,413 台中市霧峰區中正路784號,04-23393270,08:15-16:45(星期一~星期五、每月單週星期六)
D416E,青島路站,406 台中市北屯區文心路四段119號,04-22925400,08:00-17:00(星期一~星期五)、08:00-16:00(每月單週星期六)
D416V,五權西路站,402 台中市南屯區五權西路二段566號,04-23893367,08:15-17:15(星期一~星期五)、08:15-16:15(星期六)
D416Y,南崗工業區站,540 南投縣南投市平山里仁和路13號,049-2251460,
D4172,公園路站,404 台中市北區三民路三段50號,04-22237535,08:00-17:00(星期一~星期六)
D4247,府前站,302 新竹縣竹北市縣政二路112號,03-5556350,07:00-20:30(星期一~星期五)、08:00-16:00(星期六)
